小区,count,lng,lat,上线时间,建筑类型,价格类型,显示价格,户型数量,区,地段,地址,ID
金隅大成郡,29000,121.27216299999999,31.410794,2018-01-30,高层,均价,均价,8,嘉定,嘉定新城,武乡南路259弄，武乡南路230弄,272906
中国铁建香榭国际,37800,121.44522099999999,30.993021999999996,2018-04-30,"叠加别墅,高层",均价,均价,8,奉贤,西渡,西闸公路与扶兰路交汇处,416419
正荣国领,41655,121.374995,31.413760999999997,2017-05-28,"独栋别墅,叠加别墅",总价,总价,6,宝山,罗店,抚远路1211弄,250294
昆山万科海上传奇,17222,120.96791699999999,31.187395000000002,2018-03-20,"小高层,花园洋房",总价,总价,4,上海周边,昆山,周同公路，近锦东路,416927
万科Mixtown,21000,121.084769,31.283520000000003,2017-11-25,"小高层,高层",均价,均价,15,花桥,花桥,金融大道355号,250688
融信铂爵,42000,121.08791699999999,31.141437,2018-03-31,高层,均价,均价,5,青浦,青浦新城,大盈浦路1500弄,411776
恒大海上威尼斯,3926,121.933926,31.721349,2017-12-24,"独栋别墅,联排别墅,双拼别墅,叠加别墅,多层,小高层,高层,花园洋房",总价,总价,22,上海周边,启东,堤顶公路,246309
信达蓝尊,44000,121.260976,31.06451,2018-01-19,高层,均价,均价,9,松江,松江新城,长水街277弄,414150
禹洲雍贤府,32000,121.522025,30.979903000000004,2018-03-31,"叠加别墅,高层",均价,均价,10,奉贤,金汇,大叶公路，近浦星公路,416406
禹洲府名廷,46000,121.385703,31.027477,,小高层,均价,均价,2,闵行,马桥,富国路199弄,417458
万业紫辰苑,39600,121.444699,31.405659999999997,2017-09-02,"多层,高层,超高层",均价,均价,1,宝山,杨行,江杨北路1568弄,218831
绿地·天呈,45112,121.246945,31.402737,2017-07-06,"叠加别墅,多层,高层",总价,总价,6,嘉定,嘉定镇,嘉唐公路169弄,411535
融创江南悦,15800,121.089242,30.836026,2017-12-16,"高层,花园洋房",均价,均价,9,上海周边,嘉兴,虹桥路，近平兴公路,429482
碧桂园·十里外滩,11500,121.59083600000001,31.734505,2018-01-12,"双拼别墅,小高层,高层",均价,均价,5,上海周边,启东,启隆乡永兴街260号,414613
UNICITY万科天空之城,59540,121.26365,31.180121999999997,2018-03-10,高层,总价,总价,4,青浦,徐泾,诸陆西路,414304
首创旭辉城,26000,121.20671999999999,31.419903,2018-03-08,小高层,均价,均价,4,嘉定,嘉定新城,汇源路518弄,389553
万科安亭新镇,34545,121.183929,31.275405,2018-02-25,"联排别墅,叠加别墅,多层,花园洋房",总价,总价,10,嘉定,安亭,安礼路399弄,400512
桐南美麓,30000,121.49376699999999,30.960655,2018-01-21,"叠加别墅,多层,高层,花园洋房",均价,均价,10,奉贤,南桥,广丰路，近金海公路,414415
海上时光,14000,121.203883,31.615213,2018-01-31,"小高层,高层",均价,均价,3,上海周边,太仓,港区碧云路与平江路交汇处,429255
同济东时区,87777,121.753947,31.153528,2018-04-10,"联排别墅,叠加别墅,小高层,高层",总价,总价,6,浦东,祝桥,航城三路288弄，航城四路318弄,263906
大发融悦四季,39000,121.15653477264,31.158755770503998,2018-01-07,"小高层,花园洋房",均价,均价,6,青浦,青浦新城,秀泽路515弄（汇金路秀泽路路口）,416343
御澜雅苑,43000,121.15321499999999,31.158965000000002,2017-12-31,"高层,花园洋房",均价,均价,3,青浦,青浦新城,秀泽路,416219
宝华帝华园,29800,121.58139690318,30.930245467568003,2018-01-16,高层,均价,均价,6,奉贤,金汇,南奉公路3111弄,417269
静安·慕舍,75000,121.461973,31.296815999999996,2018-01-01,高层,均价,均价,5,静安,大宁绿地,广延路1199弄,411368
东方颐城,30000,121.87970200000001,30.988657,2017-12-30,"联排别墅,叠加别墅,多层,花园洋房",均价,均价,4,浦东,临港新城,东大公路与崇实路交汇处,405856
泰禾大城小院,27000,121.70132696923001,31.405020210776,2018-02-03,高层,均价,均价,2,崇明,长兴岛,凤凰公路潘圆公路交叉口,417874
葛洲坝绿城·玉兰花园,42000,121.09700000000001,31.177132,2017-06-10,"叠加别墅,多层",均价,均价,8,青浦,青浦新城,清河湾路1699弄,253190
正荣御首府,24000,121.32538600000001,30.751565000000003,2017-03-04,"联排别墅,小高层,高层",均价,均价,14,金山,金山新城,龙轩路1998弄,252191
金科集美嘉悦,18000,120.96109512953001,30.916354472223002,2017-12-31,"小高层,高层",均价,均价,3,上海周边,嘉善,姚庄大道和兴学路交汇处,432607
M旭辉城M-CITY,18600,120.95927668773999,30.913371081631,2017-12-30,"多层,高层,花园洋房",均价,均价,3,上海周边,嘉善,姚庄大道兴学路路南侧300米,432546
中骏天悦,95000,121.407719,31.261274,2017-01-20,"多层,高层,花园洋房",均价,均价,7,普陀,真如,固川路166弄,414502
中粮南桥锦云,37000,121.491019,30.926322999999996,2018-07-30,高层,均价,均价,6,奉贤,南桥,德政路298弄,429246
佳兆业君汇上品,30000,121.20134399999999,31.202714,2017-09-09,"多层,小高层,高层",均价,均价,4,青浦,重固,崧建路339弄,412391
大学里二期,44342,121.21712911228,31.285706539773003,2017-07-20,小高层,总价,总价,4,嘉定,安亭,曹安公路4801号（近绿苑路）,252043
安亭瑞仕锦庭,31500,121.193964,31.281779999999998,2017-07-07,高层,均价,均价,6,嘉定,安亭,安研路67弄,414236
上海星河湾,76500,121.41761000000001,31.094918,2016-05-28,高层,均价,均价,10,闵行,颛桥,都会路3888弄,216434
大名城紫金9号,70000,121.67283,31.235025,2016-10-09,高层,均价,均价,6,浦东,唐镇,德淳路99弄,401196
鹏欣一品漫城五期前滩·尚城,68000,121.49193000000001,31.120787,2016-10-30,"独栋别墅,小高层",均价,均价,3,闵行,浦江,芦恒路306弄,253229
象屿·上海年华,46000,121.345945,31.079506,2017-03-04,"多层,高层,花园洋房",均价,均价,5,松江,新桥,明华路1077弄,252546
浦发罗兰翡丽,65000,121.67998999999999,31.232574,2016-11-15,高层,均价,均价,9,浦东,唐镇,玉盘北路281弄,252977
景瑞城中公园,39000,121.122446,31.164782000000002,2016-12-19,高层,均价,均价,2,青浦,青浦新城,城中北路588弄,411591
万科公园大道,32648,121.38706599999999,31.030724,2018-01-19,"多层,高层",总价,总价,9,闵行,马桥,富卓路789弄,253147
新城上坤樾山明月,100840,121.24241299999998,31.105844,2018-12-31,独栋别墅,总价,总价,7,松江,佘山,洞坤路168弄,411718
碧云壹零,26000,121.90611000000001,30.909195,2017-09-06,"联排别墅,叠加别墅,小高层,花园洋房",均价,均价,8,浦东,临港新城,竹柏路758弄,237702
东滩花园,40000,121.84536100000001,31.461477000000002,2017-11-15,"独栋别墅,联排别墅",均价,均价,4,崇明,陈家镇,揽海路1号,237684
路劲•佘山院子,38000,121.144896,31.031423999999998,2017-06-30,"联排别墅,多层,小高层,高层",均价,均价,4,松江,松江新城,崇南公路599弄,416553
天健萃园,23000,121.81385700000001,30.961746,2017-09-19,"多层,高层,花园洋房",均价,均价,6,浦东,临港新城,祥凯路2013弄,409268
佘山御庭,57627,121.201811,31.103662,2016-11-02,独栋别墅,总价,总价,9,松江,佘山,外青松公路9199弄,400757
仁恒·公园世纪,125000,121.540364,31.215162,2017-05-06,"高层,超高层",均价,均价,5,浦东,花木,银融路88弄,383881
长城逸府,13000,121.03763300000001,30.904386,2017-05-20,"联排别墅,小高层,花园洋房",均价,均价,7,金山,枫泾,白牛路1068弄,237886
御岛财富公馆,35000,121.70489099999999,31.397140999999998,2014-11-29,小高层,均价,均价,8,崇明,长兴岛,凤蓉路455弄,252971
帕缇欧香苑,40000,121.131918,31.146662,2016-07-22,"独栋别墅,小高层",均价,均价,9,青浦,青浦新城,外青松公路6666弄,210618
宝业爱多邦,41000,121.161484,31.150698,2018-12-31,高层,均价,均价,4,青浦,青浦新城,崧淀二路99弄,411465
禹洲东滩雍禧,35000,121.81480900000001,31.499307,2017-02-05,"联排别墅,叠加别墅",均价,均价,9,崇明,陈家镇,北陈公路1568弄,409399
上海高尔夫社区汤泉美地城,38360,121.206442,30.881077,2016-10-01,"独栋别墅,联排别墅,小高层,高层",总价,总价,7,金山,朱泾,金石北路6800弄,245393
复地申公馆,23000,121.52366,31.080329,2012-09-27,,均价,均价,3,闵行,浦江,恒南路688弄（近联航路）,249664
碧桂园湖悦天境花园,19500,120.863794,31.037428000000002,2017-04-16,"叠加别墅,高层",均价,均价,6,上海周边,其他,海南路99号,415730
金地艺境,15000,120.761123,30.822723999999997,2017-06-18,"高层,花园洋房",均价,均价,6,上海周边,嘉兴,东方路，近正阳西路,417757
东渡悦来城,40000,121.089831,31.142527,2017-04-22,高层,均价,均价,6,青浦,青浦新城,淀山湖大道866号,414633
臻水岸苑,43887,121.231132,31.147539000000002,2018-12-30,双拼别墅,总价,总价,8,青浦,赵巷,业辉路199弄,411929
盛誉世家,42000,121.10780756406,31.167924174903003,2017-07-08,"小高层,花园洋房",均价,均价,3,青浦,青浦新城,淀湖路666弄,417238
恒大花逸,30000,121.036497,31.139403,2017-05-06,"联排别墅,双拼别墅,花园洋房",均价,均价,16,青浦,朱家角,淀山湖大道3600弄,408649
新华红星国际广场,90000,121.37856076105,31.180830615444002,2016-07-13,,均价,均价,8,闵行,金虹桥,虹井路120弄2号（近吴中路）,401240
大华斐勒公园,193548,121.532248,31.184611999999998,2017-02-08,"叠加别墅,多层,高层,花园洋房",总价,总价,2,浦东,花木,北艾路1643弄,414485
首创禧悦翠庭,40000,121.086527,31.137531,2016-12-28,"多层,高层,花园洋房",均价,均价,8,青浦,青浦新城,黄泥娄路287弄,415445
森兰美伦,40000,121.600296,31.322695,2016-04-06,,均价,均价,1,浦东,外高桥,兰嵩路555号,416313
新南浔孔雀城,8400,120.44450009372,30.87541045868,2017-10-08,"独栋别墅,联排别墅,高层",均价,均价,5,上海周边,其他,浙江省湖州市南浔镇浔练公路和联谊路交叉口,415820
新奇世界·上影安吉,13000,119.62126383441002,30.693868413355,2018-12-31,"独栋别墅,联排别墅,双拼别墅,小高层",均价,均价,4,上海周边,其他,安吉递铺镇孝源街道科教文新区维学街,414805
碧桂园嘉誉,31670,121.282927,31.423963,2016-09-28,"小高层,花园洋房",均价,均价,4,嘉定,嘉定新城,启悦路700弄,400681
嘉兴金地都会艺境,14000,120.81451499999999,30.676935999999998,2017-10-20,"多层,高层",均价,均价,2,上海周边,嘉兴,余新镇渔里街与新昌路交叉口（余新镇镇府旁）,417761
中意国际,23000,121.506914,31.11226,2013-12-30,,均价,均价,2,闵行,浦江,浦星公路800号5-8幢,413321
绿都·绣云里,60000,121.717256,31.11505,2017-08-11,,均价,均价,1,浦东,川沙,崇溪路111弄,417104
绿地康桥郡,20000,121.08783600000001,31.282465000000002,2017-05-20,"叠加别墅,高层",均价,均价,8,花桥,花桥,金融大道,410219
远香湖九号,40000,121.27136899999999,31.351778999999997,2016-07-02,"叠加别墅,高层",均价,均价,8,嘉定,嘉定新城,宝塔路99弄,189831
融创香溢花城三期香溢天地,98000,121.441014,31.261951,2017-04-04,高层,均价,均价,4,普陀,光新,石泉东路215弄,189784
泰禾红桥,41000,121.158445,31.151352000000003,2017-05-07,"多层,小高层,高层,花园洋房",均价,均价,5,青浦,青浦新城,青湖东路555弄,252705
外冈壹号,25000,121.182447,31.365116999999998,2016-08-06,"联排别墅,花园洋房",均价,均价,4,嘉定,嘉定镇,外青松公路199弄,411263
新城上坤樾山美墅,104347,121.244571,31.107558,2017-03-12,"联排别墅,叠加别墅",总价,总价,7,松江,佘山,洞塔路728弄,414084
上海西环中心·星信名邸,49800,121.310134,31.312126,2017-06-26,高层,均价,均价,5,嘉定,南翔,德园路955弄,414121
禹洲丁香里,29200,121.28008700000001,31.414984999999998,2017-04-26,高层,均价,均价,3,嘉定,嘉定镇,树屏东路599弄,414065
朱家角新城观澜府,35000,121.05810600000001,31.129139000000002,2017-03-11,"联排别墅,双拼别墅",总价,总价,3,青浦,朱家角,阁游路258弄,416006
新城盛世,42000,121.10764499999999,31.167315000000002,2017-09-29,高层,均价,均价,3,青浦,青浦新城,淀湖路555弄,414252
圣和静安公馆,110000,121.48732199999999,31.25272,2016-06-07,高层,均价,均价,5,静安,西藏北路,山西北路388弄,13509
中南君悦府,46491,121.08459664513,31.139698294884,2017-06-26,"叠加别墅,多层,小高层",总价,总价,7,青浦,青浦新城,大盈浦路1800弄,412051
碧桂园玫瑰公馆,45903,121.087432,30.879007,2017-06-10,"联排别墅,花园洋房",总价,总价,7,金山,枫泾,润兴路8弄1号-46号,416099
北外滩中心,60000,121.51401820316002,31.257051836785998,2014-06-14,,均价,均价,1,虹口,北外滩,东大名路1050号（近公平路）,425535
上海进口商品展示贸易中心,40000,121.769814,31.078746000000002,2016-01-01,,均价,均价,0,浦东,惠南,川南奉公路5959弄,414278
奉贤宝龙城市广场,22500,121.46908674455,30.936387021047,2014-06-30,,均价,均价,0,奉贤,南桥,环城东路732弄,415210
金山红星国际广场商铺,25000,121.351248,30.755107000000002,2015-05-31,,均价,均价,0,金山,金山新城,杭州湾大道1818弄,389759
嘉兴万达广场,18000,120.72472900000001,30.758614,2013-12-15,,均价,均价,0,上海周边,嘉兴,龙凤路,426748
临港宝龙城市广场,30000,121.821973,30.913154,2015-11-20,,均价,均价,0,浦东,临港新城,鸿音路3155弄,414276
尚都里,36000,121.06274831953002,31.116698874579,2016-09-03,,均价,均价,0,青浦,朱家角,新风路210弄、240弄、258弄、268弄、288弄,417880
青浦绿地中心,28000,121.13137708811001,31.165049157747003,2016-12-07,,均价,均价,0,青浦,青浦新城,华纺路299弄,424407
保利翡丽公馆翡丽星街,40000,121.26634787446999,31.121270012012,2015-10-10,,均价,均价,0,松江,泗泾,泗宝路75号,432073
嘉定宝龙广场,50000,121.267699,31.351114000000003,2016-09-24,,均价,均价,0,嘉定,嘉定新城,阿克苏路1077、1097号,251912
七宝宝龙城,36000,121.36171100000001,31.162984,2015-03-28,,均价,均价,0,闵行,七宝,漕宝路3207号（新镇路口）,413272
中惠金钻天地商铺,25000,121.67822543796999,31.293500196962,2016-10-15,,均价,均价,0,浦东,曹路,海鹏路218号,415693
宝山宝龙广场,35000,121.36525790869,31.394659168897,2015-06-30,,均价,均价,0,宝山,罗店,杨南路2211号,415140
华谊逸品澜湾,46000,121.309021,31.31287,2018-01-11,高层,均价,均价,7,嘉定,南翔,德园路，近嘉程东路,416519
南通恒大悦珑湾,8500,121.02504677188,31.923987694776002,2018-01-28,"高层,花园洋房",均价,均价,6,上海周边,其他,南通通州区锡通科技产业园枫杨路与枫香路交汇处,429966
中金海棠湾,23874,121.59824499999999,31.10602,2017-12-06,"联排别墅,多层,高层",总价,总价,14,浦东,周康,沈梅东路300弄，周东南路599弄,247768
国贸天悦,42000,121.226351,31.132221,2017-11-20,小高层,均价,均价,14,松江,佘山,勋业东路188弄，马尾山路179弄,389887
中南正荣海上明悦,13800,121.18978424189,30.725760719147,2018-03-10,小高层,均价,均价,3,上海周边,嘉兴,平湖市新仓镇建新路东南侧、风雷河西侧,430491
新城尚品,33000,121.32216000000001,31.069381,2016-12-31,高层,均价,均价,6,松江,新桥,新中街188弄,411811
融创日月湾,28000,110.21613816308998,18.617533311645,2017-12-03,"叠加别墅,多层,高层,花园洋房",均价,均价,6,上海周边,其他,海南万宁日月湾旅游度假区,433912
中环国际公寓三期,54000,121.430728,31.339546000000002,2017-08-29,"小高层,高层,花园洋房",均价,均价,17,宝山,通河新村,场北路669弄,237267
聚米喆园,10000,120.81183560582,30.897728861066,2017-12-16,高层,均价,均价,2,上海周边,嘉善,天凝镇东方路与天凝大道交汇处,434656
万科翡翠滨江,266666,121.548222,31.254064,2015-10-15,"多层,小高层,高层",总价,总价,10,浦东,洋泾,滨江大道399弄，昌邑路1500号,250372
湖庭庄园,60000,121.030499,31.133257,2010-03-28,独栋别墅,均价,均价,17,青浦,朱家角,绿湖路999弄,210038
嘉兴中南君悦府,13000,121.104549,30.621378000000004,2017-07-30,"多层,小高层,高层",均价,均价,5,上海周边,嘉兴,外环东路,416044
东海御庭,48101,121.779793,31.211321,2016-08-30,"独栋别墅,联排别墅",总价,总价,5,浦东,川沙,华夏东路5888弄,237685
复地浦江中心,18000,121.524423,31.082056,2015-06-12,,均价,均价,3,闵行,浦江,联航路1505弄1-5号等,298335
尚景丽园,40000,121.579921,31.126842,2017-07-14,"小高层,花园洋房",均价,均价,5,浦东,周康,康桥镇梓营路155弄,418355
艺泰一品花园,30000,121.73661499999999,31.05542,2017-10-01,"多层,小高层",均价,均价,4,浦东,惠南,人民西路1533弄,248609
绿城乌镇雅园,24000,120.51953200000001,30.729359000000002,2017-09-30,"多层,小高层",均价,均价,11,上海周边,嘉兴,浦建路1463号,249104
金臣别墅,120930,121.278352,31.210881,2014-11-08,独栋别墅,总价,总价,5,闵行,华漕,金光路801弄,249885
紫都上海晶园,78125,121.19971000000001,31.114320000000003,2010-05-08,独栋别墅,总价,总价,10,松江,佘山,佘北公路389弄,221191
融信绿地国际,35000,121.286185,31.21578,2015-07-08,,均价,均价,3,闵行,华漕,盘阳路59弄,389777
翡翠公馆,14000,120.94451154709999,30.875053028298996,2017-11-18,花园洋房,均价,均价,4,上海周边,嘉善,320国道与申友路交汇处,434427
虹桥富力中心,14000,121.32268400000001,31.213446,2015-11-01,,总价,总价,0,闵行,华漕,申虹路958弄,415307
上置名人天地,45000,121.376972,31.407491999999998,2011-12-25,,均价,均价,2,宝山,罗店,美兰湖路8弄,426111
大豪山林别墅,84210,121.26533300000001,31.17462,2010-04-20,独栋别墅,总价,总价,4,青浦,徐泾,盈港东路2588弄,220547
汤臣一品,195852,121.508381,31.238608000000003,2009-06-22,"高层,超高层",总价,总价,7,浦东,陆家嘴滨江,花园石桥路28弄,220254
白金湾府邸,180000,121.51313400000001,31.256187,2009-09-17,"高层,超高层",均价,均价,5,虹口,北外滩,海平路18号,210637
恒大佘山首府,37000,121.22586899999999,31.134892999999998,2015-04-25,"叠加别墅,多层,高层,花园洋房",均价,均价,12,松江,佘山,勋业东路300弄,252727
中海紫御别墅,140000,121.387553,31.232991,2016-03-30,"独栋别墅,联排别墅,双拼别墅",均价,均价,2,普陀,长风,同普路689弄,245402
保利天鹅语,39215,121.24632199999999,31.355696999999996,2013-08-30,联排别墅,总价,总价,2,嘉定,嘉定新城,洪德路1380弄,246399
品尊国际公寓,100000,121.426022,31.264001,2016-09-02,高层,均价,均价,4,普陀,真如,铜川路58弄,189875
虹桥·正荣府,60000,121.28523999999999,31.164182,2017-04-01,"双拼别墅,叠加别墅,多层,小高层,花园洋房",均价,均价,7,青浦,徐泾,徐和路165弄，联民路100弄,252799
荣信·虹桥世嘉,70000,121.40029799999999,31.179601,2016-03-26,"多层,高层",均价,均价,7,闵行,金虹桥,虹梅路2159弄,389701
大发融悦,40000,121.092693,31.141872999999997,2017-04-26,"多层,小高层,花园洋房",均价,均价,11,青浦,青浦新城,朱家角路158弄,252871
佳兆业城市广场,30000,121.281019,31.411469,2016-10-01,"多层,高层,花园洋房",均价,均价,5,嘉定,嘉定镇,顺宁路501弄，启宁路421弄,250263
世茂佘山里,63636,121.181614,31.102728999999997,2013-11-20,"联排别墅,双拼别墅",总价,总价,4,松江,佘山,千新公路718弄,248770
古北香堤艺墅,42354,121.048795,31.115831,2015-08-11,联排别墅,总价,总价,9,青浦,朱家角,沙淀中路77弄,248532
嘉宝梦之缘景庭,43000,121.254951,31.343306,2016-08-26,"多层,小高层,高层,花园洋房",均价,均价,13,嘉定,嘉定新城,云屏路1051号,400671
绿地黄浦滨江,586206,121.488469,31.202322,2016-06-18,小高层,总价,总价,2,黄浦,黄浦滨江,蒙自路778号,400706
徐汇万科中心,60000,121.43873855773998,31.163860438576002,2015-04-04,标准写字楼,均价,均价,3,徐汇,上海南站,南宁路1000号,389760
御涛园,90361,121.358571,31.05067,2012-04-09,独栋别墅,总价,总价,4,闵行,马桥,茜昆路518弄,230223
万顺水原墅,60000,121.424742,31.04904,2013-07-01,"独栋别墅,联排别墅",均价,均价,14,闵行,颛桥,都市路777弄,218826
览海国际高尔夫社区,31359,121.82715400000001,31.467391999999997,2009-12-30,"独栋别墅,联排别墅,双拼别墅",总价,总价,7,崇明,陈家镇,揽海路33弄，揽海路55弄,230186
金臣汇,102325,121.278972,31.209764,2016-05-08,"独栋别墅,小高层",总价,总价,4,闵行,华漕,金杰路5弄,389666
新江湾城首府别墅,92105,121.523872,31.339661,2013-08-30,"联排别墅,双拼别墅,叠加别墅",总价,总价,5,杨浦,新江湾城,国秀路88弄,246800
金球怡云花园,65217,121.29164175217,31.213021684724,2011-05-21,联排别墅,总价,总价,4,闵行,华漕,运乐路288弄,217965
保亿风景水岸,27960,121.81973700000002,31.471234000000003,2015-05-10,"独栋别墅,联排别墅,双拼别墅",总价,总价,9,崇明,陈家镇,揽海路169弄,215348
华府樟园,95000,121.42059099999999,31.231556,2012-06-16,"小高层,高层",均价,均价,5,长宁,中山公园,凯旋北路1555弄60-74号,225164
碧桂园天琴雅苑,13000,121.10919507950001,31.648272027946,,高层,均价,均价,1,上海周边,太仓,璜泾镇陆璜公路南与新城路西交汇处,434189
嘉善万联花园,16500,120.92823436556002,30.824316025625,,高层,均价,均价,2,上海周边,嘉善,车站南路白水塘路交汇处,434372
嘉里不夜城,30000,121.46340982254999,31.25082956967,2010-06-28,,均价,均价,2,静安,上海火车站,天目西路218号,424441
万业·一番空间,80000,121.44438799999999,31.26018,2016-09-18,,均价,均价,5,普陀,光新,远景路662号,414290
嘉业海悦,21300,121.53991699999999,30.828888,2015-07-23,"独栋别墅,小高层",均价,均价,5,奉贤,海湾,海马路2155弄,228603
碧盈苑,45128,121.71641372618,31.051954447940002,2010-10-31,"独栋别墅,双拼别墅",总价,总价,4,浦东,惠南,南六公路99弄20支弄159号,201618
虹桥协信中心,60000,121.32148500000001,31.207392,2014-08-01,,均价,均价,1,闵行,华漕,申虹路663号,413252
汇京国际广场,66000,121.42985900000001,31.202056,2012-10-24,,均价,均价,1,徐汇,徐家汇,虹桥路777号,413255
方舟苑,35000,121.283943,31.395540999999998,2016-01-16,高层,均价,均价,2,嘉定,嘉定新城,澄浏中路3298弄,418807
保利艾庐,43423,121.64824899999999,31.10417,2017-10-26,"叠加别墅,高层",均价,均价,10,浦东,周康,蓝靛路1688弄,252940
棕榈滩高尔夫别墅,29853,121.55276599999999,30.833921000000004,2013-03-15,独栋别墅,总价,总价,10,奉贤,海湾,海马路3499弄，海马路4199弄,221215
佘山东紫园,85365,121.218621,31.095839,2017-04-30,独栋别墅,总价,总价,5,松江,佘山,林叶路189弄,82394
合生广富汇,55000,121.20152,31.072558,2018-01-16,"联排别墅,花园洋房",均价,均价,5,松江,松江新城,银泽路3188弄,250798
临港首府,26955,121.912322,30.906097999999997,2018-06-01,"独栋别墅,联排别墅,叠加别墅,多层,小高层",总价,总价,5,浦东,临港新城,竹柏路503弄,400955
新城金樾,11000,120.97973,30.681154,2018-01-27,"多层,小高层,高层",均价,均价,5,上海周边,嘉兴,平湖市金平湖大道与九场线交汇处（曹桥街道办事处对面）,434852
象屿都城,23000,121.078346,31.297219000000002,2017-12-02,高层,均价,均价,7,花桥,花桥,金中路188号,86758
欣悦华庭,22000,121.736005,30.946763,2017-07-08,"多层,小高层,高层",均价,均价,5,奉贤,奉城,新四平公路2378弄,417687
中交四季美庐,18000,120.90860322007,30.820699573846003,2018-02-18,"联排别墅,高层,花园洋房",均价,均价,3,上海周边,嘉善,北至是世纪大道，西侧与孔雀城隔河相望，南至白水塘路，东至汇丰家园,426459
浦江坤庭,60000,121.49424099999999,31.098625,2016-09-29,小高层,均价,均价,9,闵行,浦江,浦秀路1385弄,246228
万业观山泓郡,13000,120.453769,31.604446999999997,2017-10-28,"联排别墅,小高层,高层,花园洋房",均价,均价,3,上海周边,无锡,东翔路1509号,414149
佘山玺樾,51000,121.19800463042,31.072227646434,2018-07-01,"联排别墅,叠加别墅",均价,均价,16,松江,松江新城,灵竹路99弄,244601
阳光城·海悦府,11000,121.62152699517999,31.81370202133,2017-12-10,"联排别墅,高层",均价,均价,4,上海周边,启东,华石路与通江路交汇处,430412
紫樱阁,39800,121.12905043808,31.181367841841997,2018-01-08,小高层,均价,均价,3,青浦,青浦新城,崧泽大道9188弄,433945
蓝湖湾,17000,121.435603,31.799985999999997,2018-07-30,"联排别墅,双拼别墅,多层,小高层",均价,均价,8,上海周边,启东,通江路100号,246672
合生海景1号,29000,121.359353,30.731734000000003,2017-04-29,高层,均价,均价,6,金山,金山新城,龙胜路67号,244639
静安府（东区）,144067,121.451022,31.298576,2016-10-28,叠加别墅,总价,总价,7,静安,大宁绿地,平陆路999弄,414856
中鹰黑森林,120000,121.415654,31.275512,2014-09-30,"小高层,高层",均价,均价,18,普陀,万里,新村路1717弄,189908
长泰西郊别墅,55710,121.29508200000001,31.096565000000002,2015-10-25,独栋别墅,总价,总价,14,松江,洞泾,泗砖南路1500弄,221148
上实海上公元,44000,121.275228,31.350158,2017-01-14,"小高层,高层",均价,均价,4,嘉定,嘉定新城,希望路260弄,412234
锦秋御尚,144444,121.39040800000001,31.331473,2016-04-30,"联排别墅,多层,小高层",总价,总价,11,宝山,上大,锦秋路695弄,220578
保利天琴宇,35000,121.27095,31.364281,2016-04-02,高层,均价,均价,9,嘉定,嘉定新城,远香湖路600弄,251689
源昌幸福里,42000,121.16292717073,31.164278134202,2016-10-16,高层,均价,均价,7,青浦,青浦新城,华科东路38弄,406102
华润中央公园,50000,121.31971200000001,31.320140000000002,2016-05-21,小高层,均价,均价,12,嘉定,南翔,浩翔路98弄,237244
毕加索花园小镇,21000,121.303372,30.806046000000002,2014-10-18,"多层,小高层",均价,均价,7,金山,金山新城,康德路,249968
新城海上风华,17500,120.92632477135,30.826689082326002,2017-05-21,"小高层,高层",均价,均价,4,上海周边,嘉善,世纪大道和车站南路的交叉口,416043
御品园林,44000,121.272815,31.157272999999996,2014-09-26,独栋别墅,总价,总价,5,青浦,徐泾,徐南路1188弄,233622
尼德兰花园,60000,121.58918,31.34113,2016-03-29,"独栋别墅,叠加别墅,多层,小高层",均价,均价,18,浦东,外高桥,莱阳路3988弄1-32号,245544
佘山月湖山庄,55762,121.232216,31.107623999999998,2011-06-11,独栋别墅,总价,总价,8,松江,佘山,林荫新路255弄,237688
合生东郊别墅,192850,121.60691399999999,31.229204,2009-05-15,独栋别墅,总价,总价,4,浦东,张江,翠柏路919弄、699弄,239219
中铁诺德国际中心,50000,121.369426,31.128422999999998,2015-12-19,,均价,均价,9,闵行,莘庄,秀文路908号,400880
